SOURCE,YEAR,FUEL,FUEL_CODE,FUEL_SYM,FUEL_DESC
906,1997,Hydro,WAT,,Water
906,1997,Nuclear,UR,1,Nuclear
906,1997,Oil,FO2,2,Light Oil
906,1997,Oil,FO6,3,Heavy Oil
906,1997,Coal,ANT,4,Anthracite
906,1997,Coal,PC,5,Coke
906,1997,Coal,BIT,6,Bituminous
906,1997,Coal,LIG,7,Lignite
906,1997,Oil,OIL,8,Fuel Oil (Used prior to 1980)
906,1997,Gas,NG,9,Natural Gas
906,1997,Geothermal,GEO,A,Geothermal
906,1997,Biomass,WOD,B,Wood
906,1997,Biomass,WAS,C,Waste
906,1997,Wind,WI,D,Wind
906,1997,Solar,SP,E,Solar - Photovoltaic
906,1997,Solar,SO,F,Solar - Thermal
906,1997,Other,TIR,,Tires
906,1997,Other,REF,,Refuse
906,1997,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,1998,Hydro,WAT,0,Water
906,1998,Nuclear,UR,1,Nuclear
906,1998,Oil,FO2,2,Light Oil
906,1998,Oil,FO6,3,Heavy Oil
906,1998,Coal,ANT,4,Anthracite
906,1998,Coal,PC,5,Coke
906,1998,Coal,BIT,6,Bituminous
906,1998,Coal,LIG,7,Lignite
906,1998,Oil,OIL,8,Fuel Oil (Used prior to 1980)
906,1998,Gas,NG,9,Natural Gas
906,1998,Geothermal,GEO,A,Geothermal
906,1998,Biomass,WOD,B,Wood
906,1998,Biomass,WAS,C,Waste
906,1998,Wind,WI,D,Wind
906,1998,Solar,SP,E,Solar - Photovoltaic
906,1998,Solar,SO,F,Solar - Thermal
906,1998,Other,TIR,,Tires
906,1998,Other,REF,,Refuse
906,1998,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,1999,Hydro,WAT,0,Water
906,1999,Nuclear,UR,1,Nuclear
906,1999,Oil,FO2,2,Light Oil
906,1999,Oil,FO6,3,Heavy Oil
906,1999,Coal,ANT,4,Anthracite
906,1999,Coal,PC,5,Coke
906,1999,Coal,BIT,6,Bituminous
906,1999,Coal,LIG,7,Lignite
906,1999,Gas,NG,9,Natural Gas
906,1999,Geothermal,GEO,A,Geothermal
906,1999,Biomass,WOD,B,Wood
906,1999,Biomass,WAS,C,Waste
906,1999,Wind,WI,D,Wind
906,1999,Solar,SP,E,Solar - Photovoltaic
906,1999,Solar,SO,F,Solar - Thermal
906,1999,Other,TIR,,Tires
906,1999,Other,REF,,Refuse
906,1999,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2000,Hydro,WAT,0,Water
906,2000,Nuclear,UR,1,Nuclear
906,2000,Oil,FO2,2,Light Oil
906,2000,Oil,FO6,3,Heavy Oil
906,2000,Coal,ANT,4,Anthracite
906,2000,Coal,PC,5,Coke
906,2000,Coal,BIT,6,Bituminous
906,2000,Coal,LIG,7,Lignite
906,2000,Gas,NG,9,Natural Gas
906,2000,Geothermal,GEO,A,Geothermal
906,2000,Biomass,WOD,B,Wood
906,2000,Biomass,WAS,C,Waste
906,2000,Wind,WI,D,Wind
906,2000,Solar,SP,E,Solar - Photovoltaic
906,2000,Solar,SO,F,Solar - Thermal
906,2000,Other,TIR,,Tires
906,2000,Other,REF,,Refuse
906,2000,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2001,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2001,Coal,LIG,,Lignite Coal
906,2001,Coal,SUB,,Sub-bituminous Coal
906,2001,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2001,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2001,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2001,Oil,JF,,Jet Fuel
906,2001,Oil,KER,,Kerosene
906,2001,Coal,PC,,Petroleum Coke
906,2001,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2001,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2001,Gas,NG,,Natural Gas
906,2001,Gas,BFG,,Blast Furnace Gas
906,2001,Gas,OG,,Other Gas
906,2001,Gas,PG,,Gaseous Propane
906,2001,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2001,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2001,Biomass,MSW,,Municipal Solid Waste
906,2001,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2001,Biomass,OBS,,Other Biomass Solids
906,2001,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2001,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2001,Biomass,BLQ,,Black Liquor
906,2001,Biomass,SLW,,Sludge Waste
906,2001,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2001,Biomass,LFG,,Landfill Gas
906,2001,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2001,Geothermal,GEO,,Geothermal
906,2001,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2001,Solar,SUN,,Solar
906,2001,Wind,WND,,Wind
906,2001,Hydro,HPS,,Hydroelectric Pumped Storage
906,2001,Other,PUR,,Purchased Steam
906,2001,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2001,Other,OTH,,Other
906,2001,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
906,2001,Other,TDF,,Tire-derived Fuels
AER,2001,Coal,COL,,Coal 
AER,2001,Hydro,HYC,,Hydroelectric Conventional
AER,2001,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2001,Gas,OOG,,Other Gases
AER,2001,Biomass,ORW,,Other Renewables and Waste
AER,2001,Coal,WOC,,Waste Coal
AER,2001,Oil,WOO,,Waste Oil
AER,2001,Biomass,WWW,,Wood and Wood Waste
906,2002,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2002,Coal,LIG,,Lignite Coal
906,2002,Coal,SUB,,Sub-bituminous Coal
906,2002,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2002,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2002,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2002,Oil,JF,,Jet Fuel
906,2002,Oil,KER,,Kerosene
906,2002,Coal,PC,,Petroleum Coke
906,2002,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2002,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2002,Gas,NG,,Natural Gas
906,2002,Gas,BFG,,Blast Furnace Gas
906,2002,Gas,OG,,Other Gas
906,2002,Gas,PG,,Gaseous Propane
906,2002,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2002,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2002,Biomass,MSW,,Municipal Solid Waste
906,2002,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2002,Biomass,OBS,,Other Biomass Solids
906,2002,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2002,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2002,Biomass,BLQ,,Black Liquor
906,2002,Biomass,SLW,,Sludge Waste
906,2002,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2002,Biomass,LFG,,Landfill Gas
906,2002,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2002,Geothermal,GEO,,Geothermal
906,2002,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2002,Solar,SUN,,Solar
906,2002,Wind,WND,,Wind
906,2002,Hydro,HPS,,Hydroelectric Pumped Storage
906,2002,Other,PUR,,Purchased Steam
906,2002,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2002,Other,OTH,,Other
906,2002,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
906,2002,Other,TDF,,Tire-derived Fuels
AER,2002,Coal,COL,,Coal 
AER,2002,Hydro,HYC,,Hydroelectric Conventional
AER,2002,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2002,Gas,OOG,,Other Gases
AER,2002,Biomass,ORW,,Other Renewables and Waste
AER,2002,Coal,WOC,,Waste Coal
AER,2002,Oil,WOO,,Waste Oil
AER,2002,Biomass,WWW,,Wood and Wood Waste
906,2003,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2003,Coal,LIG,,Lignite Coal
906,2003,Coal,SUB,,Sub-bituminous Coal
906,2003,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2003,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2003,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2003,Oil,JF,,Jet Fuel
906,2003,Oil,KER,,Kerosene
906,2003,Coal,PC,,Petroleum Coke
906,2003,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2003,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2003,Gas,NG,,Natural Gas
906,2003,Gas,BFG,,Blast Furnace Gas
906,2003,Gas,OG,,Other Gas
906,2003,Gas,PG,,Gaseous Propane
906,2003,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2003,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2003,Biomass,MSW,,Municipal Solid Waste
906,2003,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2003,Biomass,OBS,,Other Biomass Solids
906,2003,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2003,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2003,Biomass,BLQ,,Black Liquor
906,2003,Biomass,SLW,,Sludge Waste
906,2003,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2003,Biomass,LFG,,Landfill Gas
906,2003,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2003,Geothermal,GEO,,Geothermal
906,2003,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2003,Solar,SUN,,Solar
906,2003,Wind,WND,,Wind
906,2003,Hydro,HPS,,Hydroelectric Pumped Storage
906,2003,Other,PUR,,Purchased Steam
906,2003,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2003,Other,OTH,,Other
906,2003,Biomass,MSN,,Municipal Solid Waste – Non-biogenic components
906,2003,Other,TDF,,Tire-derived Fuels
AER,2003,Coal,COL,,Coal 
AER,2003,Hydro,HYC,,Hydroelectric Conventional
AER,2003,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2003,Gas,OOG,,Other Gases
AER,2003,Biomass,ORW,,Other Renewables and Waste
AER,2003,Coal,WOC,,Waste Coal
AER,2003,Oil,WOO,,Waste Oil
AER,2003,Biomass,WWW,,Wood and Wood Waste
906,2004,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2004,Coal,LIG,,Lignite Coal
906,2004,Coal,SUB,,Sub-bituminous Coal
906,2004,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2004,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2004,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2004,Oil,JF,,Jet Fuel
906,2004,Oil,KER,,Kerosene
906,2004,Coal,PC,,Petroleum Coke
906,2004,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2004,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2004,Gas,NG,,Natural Gas
906,2004,Gas,BFG,,Blast Furnace Gas
906,2004,Gas,OG,,Other Gas
906,2004,Gas,PG,,Gaseous Propane
906,2004,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2004,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2004,Biomass,MSW,,Municipal Solid Waste
906,2004,Biomass,OBS,,Other Biomass Solids
906,2004,Other,TDF,,Tire-derived Fuels
906,2004,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2004,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2004,Biomass,BLQ,,Black Liquor
906,2004,Biomass,SLW,,Sludge Waste
906,2004,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2004,Biomass,LFG,,Landfill Gas
906,2004,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2004,Geothermal,GEO,,Geothermal
906,2004,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2004,Solar,SUN,,Solar
906,2004,Wind,WND,,Wind
906,2004,Other,PUR,,Purchased Steam
906,2004,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2004,Other,OTH,,Other
AER,2004,Coal,COL,,Coal 
AER,2004,Hydro,HPS,,Pumped Storage Hydroelectric
AER,2004,Hydro,HYC,,Hydroelectric Conventional
AER,2004,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2004,Gas,OOG,,Other Gases
AER,2004,Biomass,ORW,,Other Renewables and Waste
AER,2004,Coal,WOC,,Waste Coal
AER,2004,Oil,WOO,,Waste Oil
AER,2004,Biomass,WWW,,Wood and Wood Waste
906,2005,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2005,Coal,LIG,,Lignite Coal
906,2005,Coal,SUB,,Sub-bituminous Coal
906,2005,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2005,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2005,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2005,Oil,JF,,Jet Fuel
906,2005,Oil,KER,,Kerosene
906,2005,Coal,PC,,Petroleum Coke
906,2005,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2005,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2005,Gas,NG,,Natural Gas
906,2005,Gas,BFG,,Blast Furnace Gas
906,2005,Gas,OG,,Other Gas
906,2005,Gas,PG,,Gaseous Propane
906,2005,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2005,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2005,Biomass,MSW,,Municipal Solid Waste
906,2005,Biomass,OBS,,Other Biomass Solids
906,2005,Other,TDF,,Tire-derived Fuels
906,2005,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2005,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2005,Biomass,BLQ,,Black Liquor
906,2005,Biomass,SLW,,Sludge Waste
906,2005,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2005,Biomass,LFG,,Landfill Gas
906,2005,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2005,Geothermal,GEO,,Geothermal
906,2005,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2005,Solar,SUN,,Solar
906,2005,Wind,WND,,Wind
906,2005,Other,PUR,,Purchased Steam
906,2005,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
906,2005,Other,OTH,,Other
AER,2005,Coal,COL,,Coal 
AER,2005,Hydro,HPS,,Pumped Storage Hydroelectric
AER,2005,Hydro,HYC,,Hydroelectric Conventional
AER,2005,Biomass,MLG,,Municipal Solid Waste and Landfill Gas
AER,2005,Gas,OOG,,Other Gases
AER,2005,Biomass,ORW,,Other Renewables and Waste
AER,2005,Coal,WOC,,Waste Coal
AER,2005,Oil,WOO,,Waste Oil
AER,2005,Biomass,WWW,,Wood and Wood Waste
906,2006,Coal,BIT,,Anthracite Coal and Bituminous Coal
906,2006,Coal,LIG,,Lignite Coal
906,2006,Coal,SUB,,Sub-bituminous Coal
906,2006,Coal,WC,,"Waste/Other Coal (includes anthracite culm, bituminous gob, fine coal, lignite waste, waste coal)"
906,2006,Coal,SC,,"Coal-based Synfuel, including briquettes, pellets, or extrusions, which are formed by binding materials or processes that recycle materials"
906,2006,Oil,DFO,,"Distillate Fuel Oil (Diesel, No. 1, No. 2, and No. 4 Fuel Oils)"
906,2006,Oil,JF,,Jet Fuel
906,2006,Oil,KER,,Kerosene
906,2006,Coal,PC,,Petroleum Coke
906,2006,Oil,RFO,,"Residual Fuel Oil (No. 5, No. 6 Fuel Oils, and Bunker C Fuel Oil)"
906,2006,Oil,WO,,"Waste/Other Oil (including Crude Oil, Liquid Butane, Liquid Propane, Oil Waste, Re-Refined Motor Oil, Sludge Oil, Tar Oil, or other petroleum-based liquid wastes)"
906,2006,Gas,NG,,Natural Gas
906,2006,Gas,BFG,,Blast Furnace Gas
906,2006,Gas,OG,,Other Gas
906,2006,Gas,PG,,Gaseous Propane
906,2006,Nuclear,NUC,,"Nuclear Fission (Uranium, Plutonium, Thorium)"
906,2006,Biomass,AB,,Agricultural Crop Byproducts/Straw/Energy Crops
906,2006,Biomass,MSB,,Municipal Solid Waste – Biogenic component
906,2006,Biomass,OBS,,Other Biomass Solids
906,2006,Biomass,WDS,,"Wood/Wood Waste Solids (paper pellets, railroad ties, utility poles, wood chips, bark, an other wood waste solids)"
906,2006,Biomass,OBL,,Other Biomass Liquids (specify in Comments)
906,2006,Biomass,BLQ,,Black Liquor
906,2006,Biomass,SLW,,Sludge Waste
906,2006,Biomass,WDL,,"Wood Waste Liquids excluding Black Liquor (BLQ) (Includes red liquor, sludge wood, spent sulfite liquor, and other wood-based liquids)"
906,2006,Biomass,LFG,,Landfill Gas
906,2006,Biomass,OBG,,"Other Biomass Gas(includes digester gas, methane, and other biomass gases)"
906,2006,Geothermal,GEO,,Geothermal
906,2006,Hydro,WAT,,Water at a Conventional Hydroelectric Turbine
906,2006,Solar,SUN,,Solar
906,2006,Wind,WND,,Wind
906,2006,Hydro,HPS,,Hydroelectric Pumped Storage
906,2006,Other,PUR,,Purchased Steam
906,2006,Other,WH,,"Waste heat not directly attributed to a fuel source.  Note that WH should only be reported where the fuel source for the waste heat is undetermined, and for combined cycle steam turbines that are not supplementary fired"
