plant_code,year
47,1995
26,1995
645,1995
641,1995
703,1995
708,1995
710,1995
6052,1995
728,1995
889,1995
861,1995
862,1995
892,1995
887,1995
876,1995
864,1995
897,1995
995,1995
984,1995
1001,1995
983,1995
990,1995
1012,1995
1043,1995
6113,1995
991,1995
997,1995
994,1995
1008,1995
988,1995
1010,1995
6705,1995
1104,1995
1083,1995
1091,1995
1048,1995
1073,1995
1081,1995
1295,1995
1381,1995
1384,1995
1355,1995
1374,1995
1356,1995
1357,1995
6041,1995
1382,1995
1378,1995
1379,1995
1552,1995
1571,1995
1573,1995
1710,1995
1912,1995
2049,1995
2076,1995
2161,1995
2103,1995
2080,1995
2167,1995
2094,1995
2107,1995
2168,1995
2364,1995
2378,1995
2554,1995
2527,1995
2535,1995
2516,1995
2517,1995
2835,1995
2836,1995
2828,1995
2840,1995
2837,1995
2857,1995
8102,1995
2876,1995
2832,1995
2872,1995
2861,1995
2843,1995
2864,1995
2866,1995
2830,1995
3178,1995
3140,1995
8226,1995
3118,1995
3179,1995
3148,1995
3113,1995
3131,1995
3152,1995
3393,1995
3399,1995
3403,1995
3406,1995
3942,1995
3943,1995
3944,1995
3947,1995
727,1995
3954,1995
4143,1995
4054,1995
4039,1995
4072,1995
4041,1995
47,1996
26,1996
645,1996
641,1996
703,1996
708,1996
710,1996
6052,1996
728,1996
889,1996
861,1996
862,1996
892,1996
887,1996
876,1996
864,1996
897,1996
995,1996
984,1996
1001,1996
983,1996
990,1996
1012,1996
1043,1996
6113,1996
991,1996
997,1996
994,1996
1008,1996
988,1996
1010,1996
6705,1996
1104,1996
1083,1996
1091,1996
1048,1996
1073,1996
1081,1996
1295,1996
1381,1996
1384,1996
1355,1996
1374,1996
1356,1996
1357,1996
6041,1996
1382,1996
1378,1996
1379,1996
1552,1996
1571,1996
1573,1996
1710,1996
1912,1996
2049,1996
2076,1996
2161,1996
2103,1996
2080,1996
2167,1996
2094,1996
2107,1996
2168,1996
2364,1996
2378,1996
2554,1996
2527,1996
2535,1996
2516,1996
2517,1996
2835,1996
2836,1996
2828,1996
2840,1996
2837,1996
2857,1996
8102,1996
2876,1996
2832,1996
2872,1996
2861,1996
2843,1996
2864,1996
2866,1996
2830,1996
3178,1996
3140,1996
8226,1996
3118,1996
3179,1996
3148,1996
3113,1996
3131,1996
3152,1996
3393,1996
3399,1996
3403,1996
3406,1996
3942,1996
3943,1996
3944,1996
3947,1996
727,1996
3954,1996
4143,1996
4054,1996
4039,1996
4072,1996
4041,1996
47,1997
26,1997
645,1997
641,1997
703,1997
708,1997
710,1997
6052,1997
728,1997
889,1997
861,1997
862,1997
892,1997
887,1997
876,1997
864,1997
897,1997
995,1997
984,1997
1001,1997
983,1997
990,1997
1012,1997
1043,1997
6113,1997
991,1997
997,1997
994,1997
1008,1997
988,1997
1010,1997
6705,1997
1104,1997
1083,1997
1091,1997
1048,1997
1073,1997
1081,1997
1295,1997
1381,1997
1384,1997
1355,1997
1374,1997
1356,1997
1357,1997
6041,1997
1382,1997
1378,1997
1379,1997
1552,1997
1571,1997
1573,1997
1710,1997
1912,1997
2049,1997
2076,1997
2161,1997
2103,1997
2080,1997
2167,1997
2094,1997
2107,1997
2168,1997
2364,1997
2378,1997
2554,1997
2527,1997
2535,1997
2516,1997
2517,1997
2835,1997
2836,1997
2828,1997
2840,1997
2837,1997
2857,1997
8102,1997
2876,1997
2832,1997
2872,1997
2861,1997
2843,1997
2864,1997
2866,1997
2830,1997
3178,1997
3140,1997
8226,1997
3118,1997
3179,1997
3148,1997
3113,1997
3131,1997
3152,1997
3393,1997
3399,1997
3403,1997
3406,1997
3942,1997
3943,1997
3944,1997
3947,1997
727,1997
3954,1997
4143,1997
4054,1997
4039,1997
4072,1997
4041,1997
47,1998
26,1998
645,1998
641,1998
703,1998
708,1998
710,1998
6052,1998
728,1998
889,1998
861,1998
862,1998
892,1998
887,1998
876,1998
864,1998
897,1998
995,1998
984,1998
1001,1998
983,1998
990,1998
1012,1998
1043,1998
6113,1998
991,1998
997,1998
994,1998
1008,1998
988,1998
1010,1998
6705,1998
1104,1998
1083,1998
1091,1998
1048,1998
1073,1998
1081,1998
1295,1998
1381,1998
1384,1998
1355,1998
1374,1998
1356,1998
1357,1998
6041,1998
1382,1998
1378,1998
1379,1998
1552,1998
1571,1998
1573,1998
1710,1998
1912,1998
2049,1998
2076,1998
2161,1998
2103,1998
2080,1998
2167,1998
2094,1998
2107,1998
2168,1998
2364,1998
2378,1998
2554,1998
2527,1998
2535,1998
2516,1998
2517,1998
2835,1998
2836,1998
2828,1998
2840,1998
2837,1998
2857,1998
8102,1998
2876,1998
2832,1998
2872,1998
2861,1998
2843,1998
2864,1998
2866,1998
2830,1998
3178,1998
3140,1998
8226,1998
3118,1998
3179,1998
3148,1998
3113,1998
3131,1998
3152,1998
3393,1998
3399,1998
3403,1998
3406,1998
3942,1998
3943,1998
3944,1998
3947,1998
727,1998
3954,1998
4143,1998
4054,1998
4039,1998
4072,1998
4041,1998
47,1999
26,1999
645,1999
641,1999
703,1999
708,1999
710,1999
6052,1999
728,1999
889,1999
861,1999
862,1999
892,1999
887,1999
876,1999
864,1999
897,1999
995,1999
984,1999
1001,1999
983,1999
990,1999
1012,1999
1043,1999
6113,1999
991,1999
997,1999
994,1999
1008,1999
988,1999
1010,1999
6705,1999
1104,1999
1083,1999
1091,1999
1048,1999
1073,1999
1081,1999
1295,1999
1381,1999
1384,1999
1355,1999
1374,1999
1356,1999
1357,1999
6041,1999
1382,1999
1378,1999
1379,1999
1552,1999
1571,1999
1573,1999
1710,1999
1912,1999
2049,1999
2076,1999
2161,1999
2103,1999
2080,1999
2167,1999
2094,1999
2107,1999
2168,1999
2364,1999
2378,1999
2554,1999
2527,1999
2535,1999
2516,1999
2517,1999
2835,1999
2836,1999
2828,1999
2840,1999
2837,1999
2857,1999
8102,1999
2876,1999
2832,1999
2872,1999
2861,1999
2843,1999
2864,1999
2866,1999
2830,1999
3178,1999
3140,1999
8226,1999
3118,1999
3179,1999
3148,1999
3113,1999
3131,1999
3152,1999
3393,1999
3399,1999
3403,1999
3406,1999
3942,1999
3943,1999
3944,1999
3947,1999
727,1999
3954,1999
4143,1999
4054,1999
4039,1999
4072,1999
4041,1999
